id;season;round;circuitId;country;constructorId;driverId;position;points;grid;status;differenceGridPosition
78;2000;4;silverstone;UK;mclaren;coulthard;1;10.0;4;Finished;3
79;2000;4;silverstone;UK;mclaren;hakkinen;2;6.0;3;Finished;1
80;2000;4;silverstone;UK;minardi;gene;14;0.0;21;+1 Lap;7
81;2000;4;silverstone;UK;minardi;mazzacane;15;0.0;22;+1 Lap;7
82;2000;4;silverstone;UK;prost;alesi;10;0.0;15;+1 Lap;5
83;2000;4;silverstone;UK;prost;heidfeld;18;0.0;17;Engine;-1
84;2000;4;silverstone;UK;sauber;diniz;11;0.0;13;+1 Lap;2
85;2000;4;silverstone;UK;sauber;salo;8;0.0;18;+1 Lap;10
86;2000;4;silverstone;UK;williams;button;5;2.0;6;Finished;1
87;2000;4;silverstone;UK;williams;ralf_schumacher;4;3.0;7;Finished;3
88;2000;5;catalunya;Spain;arrows;rosa;21;0.0;22;Collision;1
89;2000;5;catalunya;Spain;arrows;verstappen;18;0.0;11;Gearbox;-7
90;2000;5;catalunya;Spain;bar;villeneuve;19;0.0;6;Hydraulics;-13
91;2000;5;catalunya;Spain;bar;zonta;8;0.0;16;+1 Lap;8
92;2000;5;catalunya;Spain;benetton;fisichella;9;0.0;13;+1 Lap;4
93;2000;5;catalunya;Spain;benetton;wurz;10;0.0;18;+1 Lap;8
94;2000;5;catalunya;Spain;ferrari;barrichello;3;4.0;3;Finished;0
95;2000;5;catalunya;Spain;ferrari;michael_schumacher;5;2.0;1;Finished;-4
96;2000;5;catalunya;Spain;jaguar;herbert;13;0.0;14;+1 Lap;1
97;2000;5;catalunya;Spain;jaguar;irvine;11;0.0;9;+1 Lap;-2
98;2000;5;catalunya;Spain;jordan;frentzen;6;1.0;8;Finished;2
99;2000;5;catalunya;Spain;jordan;trulli;12;0.0;7;+1 Lap;-5
100;2000;5;catalunya;Spain;mclaren;coulthard;2;6.0;4;Finished;2
101;2000;5;catalunya;Spain;mclaren;hakkinen;1;10.0;2;Finished;1
102;2000;5;catalunya;Spain;minardi;gene;14;0.0;20;+2 Laps;6
103;2000;5;catalunya;Spain;minardi;mazzacane;15;0.0;21;+2 Laps;6
104;2000;5;catalunya;Spain;prost;alesi;20;0.0;17;Collision;-3
105;2000;5;catalunya;Spain;prost;heidfeld;16;0.0;19;+3 Laps;3
106;2000;5;catalunya;Spain;sauber;diniz;22;0.0;15;Spun off;-7
107;2000;5;catalunya;Spain;sauber;salo;7;0.0;12;+1 Lap;5
108;2000;5;catalunya;Spain;williams;button;17;0.0;10;Engine;-7
109;2000;5;catalunya;Spain;williams;ralf_schumacher;4;3.0;5;Finished;1
110;2000;6;nurburgring;Germany;arrows;rosa;6;1.0;12;+1 Lap;6
111;2000;6;nurburgring;Germany;arrows;verstappen;17;0.0;13;Spun off;-4
